case_number,date_last_modified,ground,reason,status,date_filed,petition_number
T18-0003,2-13-2018,"Health, Safety, Code Violations",,Completed,2017-11-20 00:00:00.000,9037
T17-0633,2-13-2018,Decrease in Services,,Completed,2017-11-20 00:00:00.000,9033
T18-0003,2-13-2018,Decrease in Services,,Completed,2017-11-20 00:00:00.000,9037
T17-0629,2-13-2018,Decrease in Services,,Completed,2017-11-17 00:00:00.000,9029
L17-0243,11-16-2017,,Approval of Increase,Completed,2017-11-16 00:00:00.000,8959
T17-0628,2-13-2018,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-11-16 00:00:00.000,9028
T17-0627,2-13-2018,"Health, Safety, Code Violations",,Completed,2017-11-15 00:00:00.000,9027
T17-0627,2-13-2018,Decrease in Services,,Completed,2017-11-15 00:00:00.000,9027
T17-1102,11-14-2017,"Health, Safety, Code Violations",,In-process,2017-11-14 11:10:01.100,129
T17-0625,2-13-2018,"Health, Safety, Code Violations",,Action needed,2017-11-14 00:00:00.000,9025
L17-0237,11-14-2017,,Approval of Increase,Completed,2017-11-14 00:00:00.000,934
T17-0626,2-13-2018,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-11-14 00:00:00.000,9026
T17-0626,2-13-2018,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-11-14 00:00:00.000,9026
T17-0626,2-13-2018,Second Increase in 12 months,,Completed,2017-11-14 00:00:00.000,9026
T17-0624,2-13-2018,"Health, Safety, Code Violations",,Completed,2017-11-14 00:00:00.000,9024
T17-0626,2-13-2018,"Health, Safety, Code Violations",,Completed,2017-11-14 00:00:00.000,9026
T17-0624,2-13-2018,Decrease in Services,,Completed,2017-11-14 00:00:00.000,9024
T17-0626,2-13-2018,Exceeds 30% in 5 years ,,Completed,2017-11-14 00:00:00.000,9026
T17-0622,2-13-2018,Rent Increase Exceeds CPI or more than 10%,,Action needed,2017-11-13 00:00:00.000,9022
T17-0622,2-13-2018,No Concurrent RAP Notice,,Action needed,2017-11-13 00:00:00.000,9022
T17-0622,2-13-2018,No RAP Notice at Inception or 6 Months Prior,,Action needed,2017-11-13 00:00:00.000,9022
T17-0622,2-13-2018,"Health, Safety, Code Violations",,Action needed,2017-11-13 00:00:00.000,9022
T17-0622,2-13-2018,Decrease in Services,,Action needed,2017-11-13 00:00:00.000,9022
T17-0621,4-27-2018,"Health, Safety, Code Violations",,Action needed,2017-11-13 00:00:00.000,9021
T17-0621,4-27-2018,Decrease in Services,,Action needed,2017-11-13 00:00:00.000,9021
L17-0242,11-13-2017,,Approval of Increase,Completed,2017-11-13 00:00:00.000,8960
T17-0623,2-13-2018,"Health, Safety, Code Violations",,Completed,2017-11-13 00:00:00.000,9023
T17-0623,2-13-2018,Decrease in Services,,Completed,2017-11-13 00:00:00.000,9023
T17-0620,2-13-2018,Decrease in Services,,Completed,2017-11-10 00:00:00.000,9020
T17-0608,12-21-2017,,,Completed,2017-11-08 00:00:00.000,5810
L17-0241,3-12-2019,,Approval of Increase,Completed,2017-11-07 00:00:00.000,8943
L17-0240,11-7-2017,,Certificate of Exemption,Completed,2017-11-07 00:00:00.000,8953
T17-0619,12-21-2017,Decrease in Services,,Completed,2017-11-07 00:00:00.000,5821
L18-0004,11-6-2017,,,Completed,2017-11-06 17:50:25.000,128
T17-1101,11-6-2017,Decrease in Services,,Completed,2017-11-06 09:57:21.407,127
L17-0238,11-6-2017,,Certificate of Exemption,Action needed,2017-11-06 00:00:00.000,935
L17-0244,11-6-2017,,Certificate of Exemption,Action needed,2017-11-06 00:00:00.000,8949
L17-0239,11-6-2017,,Certificate of Exemption,Completed,2017-11-06 00:00:00.000,936
T17-0616,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-11-06 00:00:00.000,5818
T17-0617,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-11-06 00:00:00.000,5819
T17-0616,12-21-2017,No Concurrent RAP Notice,,Completed,2017-11-06 00:00:00.000,5818
T17-0617,12-21-2017,No Concurrent RAP Notice,,Completed,2017-11-06 00:00:00.000,5819
T17-0616,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-11-06 00:00:00.000,5818
T17-0617,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-11-06 00:00:00.000,5819
T17-0616,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-11-06 00:00:00.000,5818
T17-0616,12-21-2017,Decrease in Services,,Completed,2017-11-06 00:00:00.000,5818
T17-0617,12-21-2017,Decrease in Services,,Completed,2017-11-06 00:00:00.000,5819
T17-0618,12-21-2017,Decrease in Services,,Completed,2017-11-06 00:00:00.000,5820
T17-1100,11-3-2017,Incorrect Rent Increase,,Completed,2017-11-03 14:54:39.333,126
T17-0615,12-21-2017,"Health, Safety, Code Violations",,,2017-11-03 00:00:00.000,5817
T17-0615,12-21-2017,Decrease in Services,,,2017-11-03 00:00:00.000,5817
T17-0614,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,In-process,2017-11-03 00:00:00.000,5816
T17-0614,12-21-2017,No Concurrent RAP Notice,,In-process,2017-11-03 00:00:00.000,5816
T17-0614,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,In-process,2017-11-03 00:00:00.000,5816
T17-0612,12-21-2017,,,Completed,2017-11-03 00:00:00.000,5814
T17-0613,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-11-03 00:00:00.000,5815
T17-0613,12-21-2017,Decrease in Services,,Completed,2017-11-03 00:00:00.000,5815
T17-0611,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Action needed,2017-11-02 00:00:00.000,5813
T17-0610,12-21-2017,Decrease in Services,,Action needed,2017-11-02 00:00:00.000,5812
L17-0236,11-1-2017,,Approval of Increase,Completed,2017-11-01 00:00:00.000,933
T17-0609,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-11-01 00:00:00.000,5811
T17-0609,12-21-2017,No Concurrent RAP Notice,,Completed,2017-11-01 00:00:00.000,5811
T17-0609,12-21-2017,Second Increase in 12 months,,Completed,2017-11-01 00:00:00.000,5811
T17-0609,12-21-2017,No Summary Provided,,Completed,2017-11-01 00:00:00.000,5811
T17-1098,10-31-2017,Rent Increase Exceeds CPI or more than 10%,,In-process,2017-10-31 00:00:00.000,124
T17-1099,10-31-2017,Rent Increase Exceeds CPI or more than 10%,,In-process,2017-10-31 00:00:00.000,125
T17-1098,10-31-2017,No Pre Approval of Increase,,In-process,2017-10-31 00:00:00.000,124
T17-1099,10-31-2017,No Pre Approval of Increase,,In-process,2017-10-31 00:00:00.000,125
T17-1098,10-31-2017,No Concurrent RAP Notice,,In-process,2017-10-31 00:00:00.000,124
T17-1099,10-31-2017,No Concurrent RAP Notice,,In-process,2017-10-31 00:00:00.000,125
T17-1098,10-31-2017,No RAP Notice at Inception or 6 Months Prior,,In-process,2017-10-31 00:00:00.000,124
T17-1099,10-31-2017,No RAP Notice at Inception or 6 Months Prior,,In-process,2017-10-31 00:00:00.000,125
T17-1098,10-31-2017,Rent Increase Violates State Law,,In-process,2017-10-31 00:00:00.000,124
T17-1099,10-31-2017,Rent Increase Violates State Law,,In-process,2017-10-31 00:00:00.000,125
T17-1098,10-31-2017,"Health, Safety, Code Violations",,In-process,2017-10-31 00:00:00.000,124
T17-0605,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Action needed,2017-10-31 00:00:00.000,5807
T17-0605,12-21-2017,No Concurrent RAP Notice,,Action needed,2017-10-31 00:00:00.000,5807
T17-0605,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Action needed,2017-10-31 00:00:00.000,5807
T17-0604,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-31 00:00:00.000,5806
T17-0606,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-31 00:00:00.000,5808
T17-0604,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-31 00:00:00.000,5806
T17-0606,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-31 00:00:00.000,5808
T17-0604,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-31 00:00:00.000,5806
T17-0606,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-31 00:00:00.000,5808
T17-0606,12-21-2017,Second Increase in 12 months,,Completed,2017-10-31 00:00:00.000,5808
T17-0604,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-31 00:00:00.000,5806
T17-0606,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-31 00:00:00.000,5808
T17-0583,12-21-2017,Decrease in Services,,Completed,2017-10-31 00:00:00.000,5785
T17-0606,12-21-2017,Decrease in Services,,Completed,2017-10-31 00:00:00.000,5808
T17-0606,12-21-2017,Exemption Based on Fraud or Mistake,,Completed,2017-10-31 00:00:00.000,5808
T17-1097,10-30-2017,"Health, Safety, Code Violations",,In-process,2017-10-30 16:05:07.037,123
T17-1096,10-30-2017,"Health, Safety, Code Violations",,In-process,2017-10-30 09:10:01.237,122
T17-0603,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,,2017-10-30 00:00:00.000,5805
T17-0603,12-21-2017,No Concurrent RAP Notice,,,2017-10-30 00:00:00.000,5805
T17-0603,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,,2017-10-30 00:00:00.000,5805
T17-0599,1-2-2019,"Health, Safety, Code Violations",,Completed,2017-10-30 00:00:00.000,5801
T17-0591,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-30 00:00:00.000,5793
T17-0601,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-30 00:00:00.000,5803
T17-0602,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-30 00:00:00.000,5804
T17-0607,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-30 00:00:00.000,5809
T17-0601,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-30 00:00:00.000,5803
T17-0607,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-30 00:00:00.000,5809
T17-0591,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-30 00:00:00.000,5793
T17-0601,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-30 00:00:00.000,5803
T17-0591,12-21-2017,Decrease in Services,,Completed,2017-10-30 00:00:00.000,5793
T17-0607,12-21-2017,Decrease in Services,,Completed,2017-10-30 00:00:00.000,5809
T17-0591,12-21-2017,Exceeds 30% in 5 years ,,Completed,2017-10-30 00:00:00.000,5793
T17-0600,5-9-2018,"Health, Safety, Code Violations",,Completed,2017-10-30 00:00:00.000,5802
T17-0597,12-21-2017,No Concurrent RAP Notice,,Action needed,2017-10-27 00:00:00.000,5799
T17-0597,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Action needed,2017-10-27 00:00:00.000,5799
T17-0597,12-21-2017,Decrease in Services,,Action needed,2017-10-27 00:00:00.000,5799
T17-0597,12-21-2017,No Summary Provided,,Action needed,2017-10-27 00:00:00.000,5799
T17-0598,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-27 00:00:00.000,5800
T17-0598,12-21-2017,No Rent Reduction after CI Increase,,Completed,2017-10-27 00:00:00.000,5800
X17-0010,2-13-2018,,,Completed,2017-10-27 00:00:00.000,9525
T17-1095,1-22-2018,"Health, Safety, Code Violations",,Action needed,2017-10-26 00:00:00.000,121
T17-0595,12-21-2017,"Health, Safety, Code Violations",,Action needed,2017-10-26 00:00:00.000,5797
T17-0596,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-26 00:00:00.000,5798
T17-0596,12-21-2017,Decrease in Services,,Completed,2017-10-26 00:00:00.000,5798
T17-0596,12-21-2017,Exemption Based on Fraud or Mistake,,Completed,2017-10-26 00:00:00.000,5798
T17-0596,12-21-2017,No Summary Provided,,Completed,2017-10-26 00:00:00.000,5798
T17-1094,10-25-2017,Rent Increase Exceeds CPI or more than 10%,,In-process,2017-10-25 17:08:12.563,120
T17-1094,10-25-2017,Rent Increase Violates State Law,,In-process,2017-10-25 17:08:12.563,120
T17-1094,10-25-2017,Second Increase in 12 months,,In-process,2017-10-25 17:08:12.563,120
L17-1028,10-25-2017,,,In-process,2017-10-25 12:19:48.773,119
L17-0233,10-25-2017,,Certificate of Exemption,Completed,2017-10-25 00:00:00.000,930
T17-0592,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-25 00:00:00.000,5794
T17-0593,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-25 00:00:00.000,5795
T17-0594,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-25 00:00:00.000,5796
T17-0592,12-21-2017,Second Increase in 12 months,,Completed,2017-10-25 00:00:00.000,5794
T17-0594,12-21-2017,Second Increase in 12 months,,Completed,2017-10-25 00:00:00.000,5796
T17-0594,12-21-2017,Decrease in Services,,Completed,2017-10-25 00:00:00.000,5796
T17-0593,12-21-2017,Exceeds 30% in 5 years ,,Completed,2017-10-25 00:00:00.000,5795
T17-0594,12-21-2017,No Summary Provided,,Completed,2017-10-25 00:00:00.000,5796
L17-0235,10-24-2017,,Certificate of Exemption,Completed,2017-10-24 00:00:00.000,932
T17-1093,10-23-2017,"Health, Safety, Code Violations",,Completed,2017-10-23 16:21:21.903,118
T17-1093,10-23-2017,Decrease in Services,,Completed,2017-10-23 16:21:21.903,118
L17-0234,10-23-2017,,Certificate of Exemption,In-process,2017-10-23 00:00:00.000,931
T17-0586,12-21-2017,"Health, Safety, Code Violations",,In-process,2017-10-23 00:00:00.000,5788
T17-0586,12-21-2017,Decrease in Services,,In-process,2017-10-23 00:00:00.000,5788
T17-0585,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Action needed,2017-10-23 00:00:00.000,5787
T17-0585,12-21-2017,No Concurrent RAP Notice,,Action needed,2017-10-23 00:00:00.000,5787
T17-0585,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Action needed,2017-10-23 00:00:00.000,5787
T17-0585,12-21-2017,Second Increase in 12 months,,Action needed,2017-10-23 00:00:00.000,5787
T17-0585,12-21-2017,"Health, Safety, Code Violations",,Action needed,2017-10-23 00:00:00.000,5787
T17-0587,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-23 00:00:00.000,5789
T17-0588,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-23 00:00:00.000,5790
T17-0590,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-23 00:00:00.000,5792
T17-0588,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-23 00:00:00.000,5790
T17-0588,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-23 00:00:00.000,5790
T17-0588,12-21-2017,Second Increase in 12 months,,Completed,2017-10-23 00:00:00.000,5790
T17-0588,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-23 00:00:00.000,5790
T17-0589,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-23 00:00:00.000,5791
T17-0588,12-21-2017,Decrease in Services,,Completed,2017-10-23 00:00:00.000,5790
T17-0589,12-21-2017,Decrease in Services,,Completed,2017-10-23 00:00:00.000,5791
T17-1092,10-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-21 23:06:24.347,117
T17-1092,10-21-2017,Exceeds 30% in 5 years ,,Completed,2017-10-21 23:06:24.347,117
T17-1091,10-21-2017,Decrease in Services,,In-process,2017-10-21 17:37:01.840,116
T17-0584,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-21 00:00:00.000,5786
T17-0584,12-21-2017,Exceeds 30% in 5 years ,,Completed,2017-10-21 00:00:00.000,5786
T17-1090,10-20-2017,"Health, Safety, Code Violations",,Completed,2017-10-20 13:50:16.847,115
T17-1089,10-20-2017,Rent Increase Violates State Law,,Completed,2017-10-20 10:48:59.647,114
T17-1089,10-20-2017,Second Increase in 12 months,,Completed,2017-10-20 10:48:59.647,114
T17-1089,10-20-2017,Decrease in Services,,Completed,2017-10-20 10:48:59.647,114
T17-1089,10-20-2017,No Rent Reduction after CI Increase,,Completed,2017-10-20 10:48:59.647,114
L17-0231,10-20-2017,,Capital Improvements,Completed,2017-10-20 00:00:00.000,928
L17-0232,10-20-2017,,Certificate of Exemption,Completed,2017-10-20 00:00:00.000,929
T17-0579,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-20 00:00:00.000,5781
T17-0582,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-20 00:00:00.000,5784
T17-0579,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-20 00:00:00.000,5781
T17-0582,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-20 00:00:00.000,5784
T17-0579,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-20 00:00:00.000,5781
T17-0582,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-20 00:00:00.000,5784
T17-0581,12-21-2017,Second Increase in 12 months,,Completed,2017-10-20 00:00:00.000,5783
T17-0579,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-20 00:00:00.000,5781
T17-0580,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-20 00:00:00.000,5782
T17-0582,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-20 00:00:00.000,5784
T17-0581,12-21-2017,Decrease in Services,,Completed,2017-10-20 00:00:00.000,5783
T17-0582,12-21-2017,Decrease in Services,,Completed,2017-10-20 00:00:00.000,5784
T17-0581,12-21-2017,No Rent Reduction after CI Increase,,Completed,2017-10-20 00:00:00.000,5783
C17-0028,2-13-2018,,,Completed,2017-10-20 00:00:00.000,8980
C17-0029,2-13-2018,,,Completed,2017-10-20 00:00:00.000,8981
L17-0223,10-19-2017,,Certificate of Exemption,Completed,2017-10-19 00:00:00.000,920
T17-0578,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-19 00:00:00.000,5780
L17-0230,10-18-2017,,Certificate of Exemption,Completed,2017-10-18 00:00:00.000,927
T17-0575,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-18 00:00:00.000,5777
T17-0576,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-18 00:00:00.000,5778
T17-0577,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-18 00:00:00.000,5779
T17-0576,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-18 00:00:00.000,5778
T17-0576,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-18 00:00:00.000,5778
T17-0577,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-18 00:00:00.000,5779
T17-0576,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-18 00:00:00.000,5778
T17-0575,12-21-2017,Decrease in Services,,Completed,2017-10-18 00:00:00.000,5777
T17-0576,12-21-2017,Decrease in Services,,Completed,2017-10-18 00:00:00.000,5778
T17-0575,12-21-2017,Exceeds 30% in 5 years ,,Completed,2017-10-18 00:00:00.000,5777
T17-1088,10-17-2017,No Concurrent RAP Notice,,Completed,2017-10-17 17:09:30.120,113
T17-1088,10-17-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-17 17:09:30.120,113
T17-1088,10-17-2017,Rent Increase Violates State Law,,Completed,2017-10-17 17:09:30.120,113
T17-1088,10-17-2017,"Health, Safety, Code Violations",,Completed,2017-10-17 17:09:30.120,113
T17-1088,10-17-2017,Decrease in Services,,Completed,2017-10-17 17:09:30.120,113
T17-1088,10-17-2017,No Summary Provided,,Completed,2017-10-17 17:09:30.120,113
T17-0573,12-21-2017,Decrease in Services,,Action needed,2017-10-17 00:00:00.000,5775
T17-0572,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-17 00:00:00.000,5774
T17-0572,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-17 00:00:00.000,5774
T17-0572,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-17 00:00:00.000,5774
T17-0574,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-17 00:00:00.000,5776
T17-0572,12-21-2017,Decrease in Services,,Completed,2017-10-17 00:00:00.000,5774
T17-0574,12-21-2017,Decrease in Services,,Completed,2017-10-17 00:00:00.000,5776
T17-0572,12-21-2017,No Summary Provided,,Completed,2017-10-17 00:00:00.000,5774
C17-0027,2-13-2018,,,Completed,2017-10-17 00:00:00.000,8979
C17-0034,2-13-2018,,,Completed,2017-10-17 00:00:00.000,8986
X17-0009,2-13-2018,,,Completed,2017-10-17 00:00:00.000,9524
T17-0571,10-16-2017,"Health, Safety, Code Violations",,Completed,2017-10-16 21:59:14.000,112
L17-0229,10-16-2017,,Certificate of Exemption,Completed,2017-10-16 00:00:00.000,926
T17-1087,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-16 00:00:00.000,5773
T17-1086,10-13-2017,Decrease in Services,,Completed,2017-10-13 11:43:18.087,111
T17-0569,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,,2017-10-13 00:00:00.000,5771
T17-0569,12-21-2017,Decrease in Services,,,2017-10-13 00:00:00.000,5771
T17-0568,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-13 00:00:00.000,5770
T17-0570,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-13 00:00:00.000,5772
T17-0567,12-21-2017,Decrease in Services,,Completed,2017-10-13 00:00:00.000,5769
T17-0568,12-21-2017,Decrease in Services,,Completed,2017-10-13 00:00:00.000,5770
T17-0570,12-21-2017,Decrease in Services,,Completed,2017-10-13 00:00:00.000,5772
T17-1085,10-11-2017,Rent Increase Exceeds CPI or more than 10%,,In-process,2017-10-11 12:41:25.610,110
T17-1085,10-11-2017,No Pre Approval of Increase,,In-process,2017-10-11 12:41:25.610,110
T17-1085,10-11-2017,Second Increase in 12 months,,In-process,2017-10-11 12:41:25.610,110
T17-1085,10-11-2017,Costa Hawkins Violation,,In-process,2017-10-11 12:41:25.610,110
T17-0566,12-21-2017,Decrease in Services,,Action needed,2017-10-11 00:00:00.000,5768
T17-0565,2-13-2018,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-11 00:00:00.000,9019
T17-0565,2-13-2018,Second Increase in 12 months,,Completed,2017-10-11 00:00:00.000,9019
T17-0565,2-13-2018,Costa Hawkins Violation,,Completed,2017-10-11 00:00:00.000,9019
T17-1084,10-10-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-10 18:01:14.990,109
T17-1084,10-10-2017,No Concurrent RAP Notice,,Completed,2017-10-10 18:01:14.990,109
T17-1084,10-10-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-10 18:01:14.990,109
T17-0562,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Action needed,2017-10-10 00:00:00.000,5765
T17-0562,12-21-2017,Second Increase in 12 months,,Action needed,2017-10-10 00:00:00.000,5765
T17-0562,12-21-2017,"Health, Safety, Code Violations",,Action needed,2017-10-10 00:00:00.000,5765
T17-0562,12-21-2017,Decrease in Services,,Action needed,2017-10-10 00:00:00.000,5765
T17-0561,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-10 00:00:00.000,5764
T17-0563,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-10 00:00:00.000,5766
T17-0561,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-10 00:00:00.000,5764
T17-0564,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-10 00:00:00.000,5767
T17-0561,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-10 00:00:00.000,5764
T17-0563,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-10 00:00:00.000,5766
T17-0564,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-10 00:00:00.000,5767
T17-0564,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-10 00:00:00.000,5767
T17-0564,12-21-2017,Decrease in Services,,Completed,2017-10-10 00:00:00.000,5767
T17-0559,12-21-2017,Exceeds 30% in 5 years ,,Completed,2017-10-10 00:00:00.000,5762
T17-0563,12-21-2017,Exceeds 30% in 5 years ,,Completed,2017-10-10 00:00:00.000,5766
T17-0558,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-06 00:00:00.000,5761
T17-0558,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-06 00:00:00.000,5761
T17-0558,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-06 00:00:00.000,5761
T17-0558,12-21-2017,"Health, Safety, Code Violations",,Completed,2017-10-06 00:00:00.000,5761
T17-0558,12-21-2017,Exceeds 30% in 5 years ,,Completed,2017-10-06 00:00:00.000,5761
L17-0228,10-5-2017,,Certificate of Exemption,Completed,2017-10-05 00:00:00.000,925
T17-1083,10-5-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-05 00:00:00.000,108
T17-1083,10-5-2017,No Pre Approval of Increase,,Completed,2017-10-05 00:00:00.000,108
T17-1083,10-5-2017,No Concurrent RAP Notice,,Completed,2017-10-05 00:00:00.000,108
T17-1083,10-5-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-05 00:00:00.000,108
T17-1083,10-5-2017,Rent Increase Violates State Law,,Completed,2017-10-05 00:00:00.000,108
T17-1083,10-5-2017,Exceeds 30% in 5 years ,,Completed,2017-10-05 00:00:00.000,108
T17-0557,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-05 00:00:00.000,5760
T17-0557,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-05 00:00:00.000,5760
T17-0557,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2017-10-05 00:00:00.000,5760
T17-0557,12-21-2017,Exceeds 30% in 5 years ,,Completed,2017-10-05 00:00:00.000,5760
T17-1082,10-4-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-04 21:09:28.987,107
T17-1082,10-4-2017,No Pre Approval of Increase,,Completed,2017-10-04 21:09:28.987,107
L17-0220,10-4-2017,,Certificate of Exemption,Action needed,2017-10-04 00:00:00.000,917
L17-0221,10-4-2017,,Certificate of Exemption,Action needed,2017-10-04 00:00:00.000,918
L17-0227,10-4-2017,,Approval of Increase,Completed,2017-10-04 00:00:00.000,924
L17-0222,10-4-2017,,Certificate of Exemption,Completed,2017-10-04 00:00:00.000,919
L17-0224,10-4-2017,,Certificate of Exemption,Completed,2017-10-04 00:00:00.000,921
L17-0225,10-4-2017,,Certificate of Exemption,Completed,2017-10-04 00:00:00.000,922
L17-0226,10-4-2017,,Certificate of Exemption,Completed,2017-10-04 00:00:00.000,923
T17-0555,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-04 00:00:00.000,5758
T17-0556,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-04 00:00:00.000,5759
T17-0560,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2017-10-04 00:00:00.000,5763
T17-0556,12-21-2017,No Concurrent RAP Notice,,Completed,2017-10-04 00:00:00.000,5759
T17-0556,12-21-2017,Decrease in Services,,Completed,2017-10-04 00:00:00.000,5759
T17-0556,12-21-2017,No Summary Provided,,Completed,2017-10-04 00:00:00.000,5759
T17-0550,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Action needed,2017-10-03 00:00:00.000,5753
T17-0550,12-21-2017,"Health, Safety, Code Violations",,Action needed,2017-10-03 00:00:00.000,5753
